V1,V2
TGFBR3,0.529718318
C6orf118,0.529218157
PDE1C,0.528993488
BAIAP2L2,0.52852144
RGS11,0.528501259
CLCNKB,0.527803382
RTP1,0.527369499
CPLX1,0.526611062
CCNI2,0.526597765
KERA,0.526365226
KNCN,0.525738839
TENM1,0.525412582
BARHL2,0.525227593
RSPH4A,0.524984133
CYSRT1,0.524740659
PGM5,0.524716272
SLC34A3,0.524467692
GATA3,0.524347632
RET,0.524006832
DUOX1,0.52344658
ADAMTSL1,0.522964214
CD52,0.522123069
AJAP1,0.522120885
UBXN10,0.522031762
COL4A6,0.521944428
TUBB4A,0.521905558
GSTM4,0.521843866
MMP11,0.521398898
TBX2,0.521341254
SAMD12,0.521262541
MSLN,0.520834408
CDHR1,0.52065572
AC233992.2,0.520629296
LMOD1,0.520338248
ASIC5,0.520096247
EYA4,0.519955995
FLNC,0.519918978
NRG2,0.519611275
NYNRIN,0.51859903
GAS2L2,0.518251257
SLMAP,0.51813322
COL17A1,0.517922741
MIOX,0.517542979
STOX2,0.517408636
SCGB2B2,0.516200523
XKRX,0.516048162
PGAP2,0.515784393
ADAMTS5,0.515773233
TRPM5,0.515632765
SP5,0.515134183
CEACAM21,0.514704484
CTTNBP2,0.514132461
HCN1,0.514087382
IGFL1,0.513092791
BHMT2,0.512304305
HPGD,0.512282862
PPARGC1A,0.511690851
VCL,0.511661926
OTOG,0.511128427
GPC2,0.511103897
ASB9,0.511072773
ME1,0.511005285
C15orf41,0.510551996
RAB7B,0.510437007
STMND1,0.510229746
FRMD6,0.51020574
ZNF541,0.510147434
CCDC85A,0.509901775
ASTN1,0.509558974
RHBDL3,0.50935968
BEST2,0.509264605
SHOX2,0.508855538
COL10A1,0.508417087
NEUROG3,0.507832069
TLX1,0.507512908
GPR19,0.506789059
GLDN,0.506194006
PHYHIPL,0.506026997
CAMKK2,0.505789738
SULT1C4,0.505573568
OR51T1,0.50536772
DCC,0.505274355
PDZRN4,0.50459803
C7orf57,0.504298273
ULBP1,0.503392294
SLC7A10,0.503365015
BMERB1,0.50318457
MSRB3,0.503028512
WDR97,0.502896448
EML6,0.502100019
TSLP,0.501903586
RBFOX3,0.501238929
NFYB,0.500825009
BAG3,0.500695045
SVIL,0.50028242
ITIH1,0.500086587
RND2,0.500019935
LYPD3,0.499940374
MADCAM1,0.499829312
PCP4L1,0.499394976
ASB3,0.499310968
AGTR1,0.499270515
IGSF1,0.499119497
CCL24,0.49904837
FRMPD3,0.499021336
SSX1,0.498579664
FAM107A,0.4983285
CYP1A2,0.497919288
LRRC2,0.497296966
CLDN18,0.497274302
PLEKHA2,0.496554457
AHNAK2,0.495888407
FERMT2,0.495569798
RAB11FIP2,0.495176848
IL1RN,0.494784823
DNAJB5,0.4942681
KCTD14,0.494260654
TEX30,0.494049265
PHEX,0.49384463
DNAH3,0.493573897
HOXD13,0.493475803
TUBA3C,0.493000879
EPHB1,0.492893883
LGALS4,0.492843104
BNIP5,0.492402049
SERPINA11,0.492387884
TENT5B,0.492232604
HAGHL,0.492064736
PAQR7,0.491146775
PRKG1,0.490737985
CFC1,0.490672179
POU3F2,0.490304383
GKN1,0.490208261
ERICH3,0.489770367
MEI4,0.48957318
SI,0.489131423
PPP2R2B,0.488961276
AQP5,0.488891388
FCGBP,0.488412257
MCHR1,0.487778055
RASL12,0.487358833
TP63,0.487260166
LOXL4,0.487198341
PPBP,0.487171754
PCDHA8,0.486858245
PGAP4,0.486255138
SORBS1,0.485368319
CABS1,0.483835861
DAAM2,0.483176595
PGRMC1,0.483049026
MYOCD,0.482962181
ALDH1A2,0.482679122
GSC,0.481834511
CYP4B1,0.481662808
FLNA,0.480964262
CFAP45,0.480855332
CSRP1,0.480836519
SLC4A10,0.480564723
GCNT3,0.480229067
CHRNB2,0.480141678
COL11A2,0.479710539
CCDC69,0.479585798
COLCA2,0.479530974
PIP5K1B,0.478995521
POR,0.478727086
RALGAPA2,0.478678536
TAF7L,0.478591019
CALHM3,0.478270555
CCDC178,0.478114546
SPON2,0.477941658
GNAL,0.477651196
KCNMA1,0.477346631
SRMS,0.477048584
RAPGEFL1,0.476993628
KCNS1,0.476968142
GABRG2,0.47653046
CDH8,0.476251863
SLC22A9,0.475919812
OASL,0.475907947
PTPRH,0.47568566
HS6ST3,0.475604002
ARMC3,0.475417025
MAMLD1,0.475174394
INSYN2B,0.475126792
PNLIP,0.474557628
ASPN,0.474540812
TMEM213,0.474289981
CLIP3,0.473270357
PLAG1,0.473226198
TMPRSS4,0.473090219
ZNF154,0.473074668
SLC7A5,0.472895351
FOSL1,0.472867168
TBX4,0.47271848
PPP1R12B,0.472702117
TMEM145,0.472106792
TCF7L1,0.472088376
RBMS3,0.472080628
PRDM6,0.471936235
SLC19A3,0.471866779
NCAM1,0.471768417
CA13,0.471718851
IQCA1,0.471654949
P2RX2,0.471642234
TES,0.47132349
CYP2B6,0.471202465
DCX,0.471171945
PRICKLE2,0.471055425
DNAAF1,0.470675679
DUOXA1,0.470302356
SPOCK3,0.470262069
BARX1,0.469855776
CFHR1,0.469240767
FXYD6,0.469205283
TMEM108,0.468918104
TMEM139,0.468899009
PLCL1,0.468544046
SCARA5,0.468360769
ADRB3,0.468188669
S100A14,0.46795727
ACTN3,0.46753775
C1QTNF1,0.467357618
SDR16C5,0.467158446
PKD1L3,0.467065014
CDKL2,0.466898926
SRD5A2,0.466772269
RPE65,0.466768714
PLBD1,0.466561109
MS4A18,0.466184818
GATM,0.465893172
ACTL10,0.465647253
SLC22A31,0.46494484
TFF3,0.464821034
