V1,V2
NEU4,1.369811468
OPRD1,1.369501544
FGB,1.36925641
FADS6,1.369134476
CAMK2A,1.367600856
H2AC13,1.36733981
TCAP,1.366550221
LMOD2,1.363998485
KCNIP2,1.363582639
KRTAP21-2,1.36191233
RLBP1,1.361465604
SMPX,1.3608038
PRMT8,1.359809135
FAM163B,1.359138725
MYT1L,1.358269037
FEZF1,1.358014381
SCUBE3,1.357293011
CDHR4,1.353892311
MYOZ2,1.352361001
KISS1,1.352244649
SLC18A1,1.35095444
RCOR2,1.350426103
DPPA2,1.350066247
DDX53,1.349666416
AL845331.1,1.349609997
APOB,1.349045891
IFNL2,1.348984892
ZIC3,1.348401459
APOH,1.346303666
MSMB,1.344061085
CACNA1S,1.34388587
ADAMTS20,1.342740057
ASCL4,1.341729394
CHP2,1.3401521
HORMAD1,1.339903385
CARD18,1.339531903
LHX9,1.338986315
ECEL1,1.337984404
SLC8A2,1.337699088
LYVE1,1.33697197
UNC5D,1.336678518
FABP7,1.334394148
HSPB7,1.334338455
PRSS33,1.333315715
GPAM,1.333312822
ZG16,1.333178014
CCDC187,1.332487017
TEX14,1.332150939
FSD1,1.332073548
SIX3,1.329807166
PRB1,1.328950545
CLDN9,1.328747637
TYR,1.3287003
SLC3A1,1.326792316
SLC24A2,1.326780412
H3C10,1.323760331
H2AC17,1.322812103
SUN3,1.322460845
HTR1E,1.32242098
SLC2A4,1.321990882
AIPL1,1.321790186
XAGE5,1.321533597
CLEC4D,1.321315345
SPINK6,1.32111798
MC5R,1.320250664
DEFB132,1.31814366
MT3,1.316564296
CALHM1,1.314297775
PAH,1.313983213
HEPACAM,1.313930993
RALYL,1.313744479
ASB5,1.310945052
MGAT5B,1.310942173
PLIN1,1.310780898
ST8SIA3,1.305794669
MAGEB2,1.305218271
HMX2,1.305178214
HCRTR2,1.304235255
PPDPFL,1.304044996
CKMT2,1.302906052
ERVV-1,1.302348967
FCRLB,1.301395875
RDH16,1.300024402
FAM9C,1.299347441
NR0B1,1.299129156
IL1R2,1.298867651
KRTAP4-1,1.297915887
EDDM3B,1.295905875
GPD1,1.29577664
GPR12,1.295550669
TMEM270,1.293139139
LIN28B,1.293075796
TSPYL6,1.292971636
C4orf51,1.292609788
PDYN,1.292569423
KLB,1.291117628
SLC17A4,1.290621102
SOX2,1.289629499
IGSF23,1.288085066
ASB15,1.287814328
HHATL,1.287611342
MYADML2,1.285472718
CNIH2,1.285275124
C9orf135,1.284783855
AMBN,1.284233481
ITLN1,1.283565607
UBE2C,1.283546648
KRTAP17-1,1.28298379
SERPINB13,1.282829825
MLC1,1.281301431
PLPP4,1.281193325
AICDA,1.280797174
HUS1B,1.279510844
ATCAY,1.279013435
COMP,1.277892528
SCG2,1.276574257
HTR2C,1.276248413
CTSE,1.274053639
R3HDML,1.271603987
KREMEN2,1.271474859
SLURP1,1.270755518
VRTN,1.270615116
RNASE10,1.26959832
SEMG1,1.269251306
SPRR4,1.269109439
OR2B6,1.266284524
ADIPOQ,1.265355362
TUBA4B,1.265165976
TFR2,1.264770285
HTR1D,1.264330373
CIDEC,1.262464524
CEMIP,1.26208635
GAL,1.261383246
GYG2,1.260615536
SRRM4,1.260364042
PKMYT1,1.260313938
TAGLN3,1.259496487
AQP7,1.258739392
S100P,1.258229931
CLDN25,1.257682164
NTNG1,1.256817758
CAPN3,1.255398337
POU4F1,1.254756279
ONECUT2,1.254106727
CRH,1.251818854
KCNG1,1.251491574
TAF1L,1.250938226
CAPSL,1.25031782
LRRC15,1.249211767
COX6C,1.249107425
ISG15,1.248995494
FER1L6,1.248762934
SMTNL1,1.24853659
ATP1A3,1.244641922
DLX6,1.244609465
CACNG5,1.244399268
GPR139,1.24426771
PLIN4,1.243406244
CILP2,1.243149255
HSD17B13,1.242677221
ZIC5,1.23992078
MYT1,1.239262932
KCNC1,1.238568101
PSG9,1.238554342
KCNK16,1.237971398
MIEN1,1.237220399
H1-3,1.236945976
CNPY1,1.236898506
MYOM3,1.235666942
TPH1,1.234726803
ADH1A,1.234506927
ADH1B,1.234071407
DNAH17,1.232842852
HES7,1.232624816
ATP1B4,1.232489208
VEGFD,1.231871431
KIAA0319,1.230960423
SNTN,1.230240647
HELT,1.230187007
SYNGR3,1.22921224
C1orf158,1.228588954
TEX13B,1.228498752
UPK1A,1.227753595
JPH3,1.227348701
GC,1.22657626
SPRR2A,1.224420695
PLA2G2F,1.223266159
CD300LG,1.222677315
PYDC1,1.222341769
H2BC9,1.222261008
EPHX3,1.220716664
GNGT1,1.220586204
FGL1,1.219852604
SLC17A1,1.219798028
SCARA5,1.219781497
NT5C1A,1.219401944
ADGRF4,1.219381887
TMEM190,1.218680304
NR2E1,1.21796625
APOA1,1.217868928
MLIP,1.217774347
SPX,1.217142633
PCK1,1.21665022
RTP1,1.216346835
HMGA2,1.216178871
GNG4,1.216009788
DEFB126,1.214425977
UNC80,1.213406745
GPR6,1.212202997
KRT86,1.211340148
VGLL2,1.210787626
PGK2,1.210727302
APOBEC4,1.210398049
TBC1D3B,1.209965694
LRRC38,1.209404373
LHFPL5,1.208630987
SPRR2E,1.207374738
SLC19A3,1.207038329
DLX5,1.20602886
CCDC196,1.204727185
OR1F1,1.204301368
TDO2,1.204216313
H1-6,1.203344501
CCDC198,1.203281615
FAM177B,1.202626581
PRSS1,1.202276672
ACP7,1.201772642
CMYA5,1.199594431
LPO,1.197929467
FOXD1,1.197839247
POU3F4,1.194138476
C14orf180,1.193490085
TMIGD1,1.193061797
EN1,1.192264593
C1orf189,1.19204617
CBX2,1.191104812
CAMK2N2,1.190791113
MAB21L2,1.190065436
CRHBP,1.187784542
FOXD3,1.187312374
FRG2C,1.186618822
CEACAM6,1.18612263
MSS51,1.186024315
NKAIN4,1.185022007
PPM1E,1.184382478
ZFR2,1.184235058
HAGHL,1.182464867
SLITRK3,1.18122564
SLC22A10,1.179765067
H3C13,1.178944445
CYP4F2,1.177677351
CDKN2A,1.176864906
DLL3,1.176643844
DCAF12L1,1.176622065
TRIML2,1.176247357
TMEM132C,1.175111818
SPINK4,1.174577231
YIPF7,1.174142245
KCNH2,1.17384666
UMODL1,1.173402362
SCG3,1.173377574
CXCL11,1.172662331
OLIG1,1.172586357
S100A2,1.172430832
LIPE,1.171824525
CCN4,1.171608258
MSLN,1.171530093
CAVIN4,1.170971706
CRISP3,1.170624555
TPTE,1.17057509
KRT78,1.170211707
TPX2,1.170183123
LRRN4,1.169158664
ERN2,1.168820962
ENPP7,1.168742616
FLNC,1.167626041
HEPHL1,1.167283188
INHBA,1.16687389
H2BU1,1.165476078
CEACAM5,1.164251148
LPL,1.164189893
ACE2,1.163445445
ANKRD66,1.163173302
