V1,V2
OR5T1,1.742213987
SOHLH2,1.742189361
NPTX1,1.739477654
SPRR2D,1.736060523
OR4K2,1.73524242
A1CF,1.73366814
ERVV-2,1.733437164
CGB5,1.732053965
DLL3,1.731665376
CEACAM7,1.729906214
CNGA3,1.727443374
SLC7A10,1.725823252
DAZ4,1.72547314
RTBDN,1.725350074
NCCRP1,1.724835753
CRABP2,1.722827994
IGF2BP1,1.722390321
MARCHF11,1.721487892
GSX1,1.721472948
OR51C1P,1.721437461
FAM243A,1.72064798
PCP4,1.7184073
SMIM24,1.717629188
S100A7,1.717333372
SSX5,1.716535469
CABYR,1.716249925
B3GNT6,1.714614722
PRDM13,1.712906087
MPC1L,1.712586307
TSPY2,1.711438886
FADS6,1.710770852
DEFB106A,1.710064976
PAX7,1.706456778
BPIFB2,1.705470071
CLEC2A,1.704753722
CDHR2,1.702620064
SLITRK1,1.702589369
NEUROG2,1.70177595
COL11A1,1.701686026
SHISA9,1.69981286
SSX2,1.699306414
OR2AK2,1.699020338
ITPKA,1.697870293
GIP,1.696975937
KRTAP3-1,1.6950776
CTAG2,1.694264419
H2AC7,1.693645116
CELF3,1.688345888
AOC1,1.688253958
ZNF280A,1.688163639
OR13C3,1.684130837
MYO18B,1.682095988
CDX2,1.679655535
TMEM179,1.679169254
SLC38A3,1.679154927
KRTAP4-4,1.679130437
OPRPN,1.679011325
TTR,1.676777188
H2BC13,1.674694583
NEFL,1.674437097
GJA10,1.673961103
RSPH6A,1.673175494
HOXC13,1.670307344
KRTAP19-4,1.668375275
P2RY4,1.666478545
BPIFA1,1.664974704
CIDEC,1.664107942
KRTAP22-1,1.662469662
MIA,1.659576501
DLX2,1.658625603
CHGA,1.658347062
UGT2A3,1.658044871
GNG4,1.657825846
OR13C2,1.655794259
PHOX2A,1.649867006
SLC38A8,1.647810385
PGLYRP3,1.647696884
PYDC2,1.646940755
MMP1,1.64476127
PHGR1,1.644559064
PRAP1,1.642823287
NLRP13,1.642725615
UNC93A,1.641617839
AC118470.1,1.640793867
FSTL5,1.640787936
CLDN6,1.636578928
FGF21,1.633032864
SPTSSB,1.632996305
ZNF722P,1.631741559
FBN2,1.630755013
STXBP5L,1.626802377
LCE3B,1.62670507
USH1C,1.62573576
RNF186,1.625571269
HAVCR1,1.622399702
CAMK2B,1.619646647
CYP2B6,1.619374421
DDX53,1.617460272
TGIF2LX,1.616485253
ADH4,1.615073501
ECEL1,1.614187825
ANKRD34B,1.609794539
ZIC1,1.606797449
CSAG3,1.606473661
TNMD,1.606049898
GRIA2,1.605739538
SCGB2A2,1.604504607
CNTNAP4,1.604331355
CLRN3,1.602707014
RBMY1E,1.602672706
GLRA3,1.600047341
MCCD1,1.598432595
CALCB,1.597288502
KRTAP5-3,1.59383052
TSPY10,1.591630261
OPN1MW,1.589731715
SLC15A1,1.587992951
MOGAT3,1.587450269
LY6D,1.58670567
FEV,1.586476161
KCNK9,1.58457836
GIMD1,1.584044311
SCN3A,1.583094475
NAT16,1.583083256
SEPTIN14,1.583071413
ADAM2,1.582234998
ST8SIA3,1.581333495
AKAIN1,1.581331741
SCG3,1.579552146
ABCA12,1.578508104
AL132780.3,1.578251422
NKAIN4,1.57761614
NTSR1,1.575830343
SLC14A2,1.574293183
COL25A1,1.573396136
REG1B,1.568909223
PRDM9,1.567332817
ZIC5,1.565272071
APOA2,1.563895798
MUC13,1.563643394
UGT1A7,1.562807892
IL17C,1.55966595
APOA4,1.558638643
TLCD3B,1.554894871
SEZ6L,1.553212611
PTF1A,1.552211459
SYT14,1.550703626
IFNA7,1.549251705
STAC2,1.549029162
ESX1,1.548478282
RNF183,1.547159683
SLC39A5,1.546737392
BNIP5,1.54633716
TUBB2B,1.546311479
INSL6,1.545760114
DMBX1,1.540568326
TMEM229A,1.540545716
PRB3,1.540517209
TPTE,1.538590668
ATOH1,1.53726717
TAS2R38,1.535710583
PRAMEF18,1.532509034
PRAMEF14,1.53232997
ZNF723,1.531869511
ENTPD8,1.530819239
DPPA5,1.529846896
CNTNAP5,1.527584124
GLB1L3,1.527260438
SBSN,1.525936524
GREM1,1.519580878
GDNF,1.517500298
KRT16,1.516423992
TEX15,1.514364886
RHCG,1.514147612
NEUROG3,1.513540434
MAGEC3,1.512839075
OBP2A,1.512794049
SLC24A2,1.511880247
UGT2B10,1.511850329
SLC9A4,1.510223643
ZPLD1,1.50769754
FGF4,1.507006643
AC020909.1,1.505012891
PLK5,1.504323047
TNFSF11,1.504104058
S100P,1.502243161
TERT,1.502148791
H2AC16,1.501589492
KCNU1,1.500206693
H2BC8,1.499533621
KRTAP9-2,1.492500105
UMODL1,1.488807651
CST1,1.486450302
IL36A,1.484243222
SLC2A2,1.484071732
IGSF1,1.483905825
KRT34,1.481823964
KRTAP4-16,1.48167775
ZNF729,1.480634808
IGFL1,1.480317106
NR1I2,1.480161567
COL22A1,1.477876107
C1QL2,1.477601111
SCN5A,1.474406714
PROKR1,1.474357006
OR13C9,1.473916642
KRTAP9-9,1.473430921
DCAF12L2,1.472627292
TESC,1.468341681
RIMS2,1.466978069
GABRP,1.46642339
B4GALNT2,1.466380214
SMOC1,1.465367559
C12orf56,1.464601639
AMER3,1.464395505
DND1,1.462913043
KRTDAP,1.462118746
KRTAP4-1,1.46201135
ZDHHC22,1.461424074
NEIL3,1.458533463
OR2T6,1.45831615
TMPRSS11D,1.45763112
PNCK,1.456958604
FOXE1,1.455072692
GUCA2B,1.454102197
TLX3,1.453977501
IVL,1.453974206
CCDC166,1.453498505
KRT3,1.452949829
POU4F3,1.449470568
DEFB125,1.447637072
ATP10B,1.44705174
PPEF1,1.443159273
KRTAP17-1,1.44227615
CLPSL2,1.440664627
H2AC8,1.440644914
KIRREL2,1.440347117
KRTAP12-2,1.439005278
CXCL14,1.438591583
LCE3E,1.438358906
NRSN1,1.436079744
IGFL4,1.433346611
KRTAP2-3,1.431290843
GPC2,1.430956592
KCNV1,1.430125556
LYPD1,1.428337459
PABPC1L2B,1.428047897
APCDD1L,1.425629292
ZYG11A,1.42486481
NPTX2,1.423340903
HOXB13,1.423255794
KLK15,1.422890449
MDGA2,1.421044733
GFRA4,1.41954255
YBX2,1.419186439
CA7,1.418971543
GABRG3,1.418730979
MUC3A,1.417740058
CERS3,1.417049498
LRRC26,1.416320111
POU4F1,1.414988031
MUC21,1.414232247
LYZL2,1.412298388
CRYGD,1.410144138
F7,1.407243527
GKN1,1.406726705
PLAC1,1.405386575
REG3G,1.403759694
EMX1,1.40167667
RET,1.401150839
ZNF560,1.400564497
KCNK10,1.400054484
ERVMER34-1,1.397402943
AKR1C8P,1.396083961
SEZ6,1.395848994
LHFPL4,1.394270833
XAGE1B,1.39408173
SLC38A11,1.392955013
HGD,1.390475465
IGFBP1,1.389798157
OR4C6,1.389250568
IL36G,1.388191502
SCGB1D1,1.387164541
ADGRF4,1.387119265
BTBD17,1.386322369
SCGB1D2,1.385425758
H2AC20,1.38451136
HPDL,1.383163558
STRA6,1.382275574
FAM163A,1.381954004
SLC6A3,1.381733697
NANOS2,1.380617502
TMEM238L,1.379935693
NXPH4,1.379668467
SLC5A5,1.37910061
FAM83C,1.378753186
ABCC11,1.378434041
C1orf94,1.375805974
PCDH8,1.37270333
TMEM82,1.371505044
PSG4,1.371248713
DLX1,1.37056657
SPP1,1.36820646
OR6T1,1.366842693
PRSS58,1.365985008
TRIM31,1.36583158
C10orf99,1.364973961
ACMSD,1.363156234
INSM1,1.363127732
TMPRSS4,1.362436681
ZNF695,1.362112148
H3C1,1.361550978
TEX47,1.360931207
MEI4,1.359075341
HOXA10,1.35741132
KRT13,1.357337596
ATP4A,1.356169808
SMC1B,1.356153983
SPINK13,1.352558948
UGT1A6,1.351754349
MSLNL,1.351578694
TRPM5,1.349288933
ABCA4,1.349163046
ADGRB1,1.347740419
NETO1,1.347238388
SRARP,1.344395856
GUCA1A,1.34422731
MAGEB17,1.342198579
SERPINE2,1.342121511
OR10H1,1.342007779
HMX2,1.341670636
RASAL1,1.33841332
LYPD8,1.336703951
ANKRD1,1.335251536
SLCO1B3,1.334667048
BCL2L10,1.334261116
OTOP3,1.334103877
CCNP,1.332903053
SYNGR4,1.332053855
OR2M2,1.331963237
NKX2-3,1.331603616
ST8SIA2,1.331215835
GALR3,1.3306922
TMPRSS15,1.330519933
SERPINB5,1.328509163
RAET1L,1.326297719
NMU,1.326146184
MCF2,1.32555211
ITPRID1,1.323965642
CA9,1.322523319
PLPP4,1.322005077
FGF20,1.321982829
DNAJC12,1.319909169
ELAVL2,1.319650018
CEL,1.318703195
TEX101,1.318662254
ASB11,1.317670934
POTEB2,1.316853555
SPRR2E,1.316569213
MYT1,1.315626914
BEST3,1.315020961
SLC22A8,1.314940619
GJB6,1.314543474
H2AC11,1.313175494
MMP12,1.310311484
NEFH,1.310025683
XDH,1.308843001
CDHR5,1.3054564
CACNG5,1.305101371
H3C8,1.3044533
MSTN,1.302350116
